"country","state","name","latitude","longitude","population"
"Poland","dolnośląskie","Bolesławiec",51.2658553,15.5657397,
"Poland","dolnośląskie","Gromadka",51.4262858,15.741658,
"Poland","dolnośląskie","Nowogrodziec",51.1973679,15.3983422,
"Poland","dolnośląskie","Osiecznica",51.4017634,15.4476093,
"Poland","dolnośląskie","Warta Bolesławiecka",51.2272195,15.7045412,
"Poland","dolnośląskie","Jawor",51.0545282,16.1863231,
"Poland","dolnośląskie","Bolków",50.9245,16.10378,
"Poland","dolnośląskie","Męcinka",51.0602826,16.0571726,
"Poland","dolnośląskie","Mściwojów",51.063526,16.2612427,
"Poland","dolnośląskie","Paszowice",51.004561,16.1484471,
"Poland","dolnośląskie","Wądroże Wielkie",51.1153775,16.3309425,
"Poland","dolnośląskie","Karpacz",50.7758815,15.7555976,
"Poland","dolnośląskie","Kowary",50.79171,15.83665,
"Poland","dolnośląskie","Piechowice",50.84956,15.59851,
"Poland","dolnośląskie","Szklarska Poręba",50.8274316,15.5261478,
"Poland","dolnośląskie","Janowice Wielkie",50.8793552,15.9233934,
"Poland","dolnośląskie","Jeżów Sudecki",50.9361124,15.74164,
"Poland","dolnośląskie","Mysłakowice",50.8410986,15.7777601,
"Poland","dolnośląskie","Podgórzyn",50.8274053,15.6847425,
"Poland","dolnośląskie","Stara Kamienica",50.9098774,15.5997342,
"Poland","dolnośląskie","Kamienna Góra",50.7852076,16.0237177,
"Poland","dolnośląskie","Lubawka",50.7033992,15.9996227,
"Poland","dolnośląskie","Marciszów",50.8414118,16.0347107,
"Poland","dolnośląskie","Lubań",51.1179142,15.2893895,
"Poland","dolnośląskie","Świeradów-Zdrój",50.9087219,15.3431045,
"Poland","dolnośląskie","Leśna",51.0241928,15.2640454,
"Poland","dolnośląskie","Olszyna",51.06681,15.37221,
"Poland","dolnośląskie","Platerówka",51.0624451,15.1802924,
"Poland","dolnośląskie","Siekierczyn",51.1259587,15.1849486,
"Poland","dolnośląskie","Gryfów Śląski",51.0350353,15.4122128,
"Poland","dolnośląskie","Lubomierz",51.0126464,15.510661,
"Poland","dolnośląskie","Lwówek Śląski",51.1095792,15.5905136,
"Poland","dolnośląskie","Mirsk",50.9704636,15.3858774,
"Poland","dolnośląskie","Wleń",51.0176058,15.677587,
"Poland","dolnośląskie","Zawidów",51.02545,15.06215,
"Poland","dolnośląskie","Zgorzelec",51.1496361,15.0065645,
"Poland","dolnośląskie","Bogatynia",50.9072496,14.9561498,
"Poland","dolnośląskie","Pieńsk",51.2475,15.04176,
"Poland","dolnośląskie","Sulików",51.0758549,15.0710321,
"Poland","dolnośląskie","Węgliniec",51.2879708,15.2299326,
"Poland","dolnośląskie","Wojcieszów",50.95167,15.92209,
"Poland","dolnośląskie","Złotoryja",51.1259316,15.9213852,
"Poland","dolnośląskie","Pielgrzymka",51.1081573,15.790677,
"Poland","dolnośląskie","Świerzawa",51.0140473,15.894809,
"Poland","dolnośląskie","Zagrodno",51.1908496,15.8652698,
"Poland","dolnośląskie","Jelenia Góra",50.9044171,15.7193616,
"Poland","dolnośląskie","Głogów",51.6635852,16.0846672,
"Poland","dolnośląskie","Jerzmanowa",51.5896261,16.0409201,
